Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
40,2020-05-18,78.0,0.0,13.0,0.0,91.0,0.0,91.0
40,2020-06-01,0.0,61.0,0.0,68.0,0.0,129.0,129.0
41,2020-05-19,134.0,0.0,13.0,0.0,147.0,0.0,147.0
41,2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-06-03,79.0,1.0,30.0,1.0,109.0,2.0,111.0
41,2020-06-09,111.0,6.0,107.0,6.0,218.0,12.0,230.0
41,2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-06-11,0.0,53.0,0.0,9.0,0.0,62.0,62.0
42,2020-05-22,70.0,43.0,45.0,13.0,115.0,56.0,171.0
42,2020-05-25,55.0,0.0,3.0,0.0,58.0,0.0,58.0
42,2020-06-03,57.0,0.0,34.0,0.0,91.0,0.0,91.0
